Seg2File,Mw
26731.16.10.31.19.31.00.dat,-0.01
26732.16.10.31.19.32.00.dat,0.38
26743.16.10.31.19.43.00.dat,-0.51
26890.16.10.31.22.10.00.dat,-0.56
26899.16.10.31.22.19.00.dat,-0.27
26941.16.10.31.23.01.00.dat,-0.16
26948.16.10.31.23.08.00.dat,-0.38
26957.16.10.31.23.17.00.dat,-0.31
26969.16.10.31.23.29.00.dat,-0.04
26972.16.10.31.23.32.00.dat,0.36
26973.16.10.31.23.33.00.dat,0.03
26974.16.10.31.23.34.00.dat,0.07
26983.16.10.31.23.43.00.dat,0.13
26984.16.10.31.23.44.00.dat,0.05
26987.16.10.31.23.47.00.dat,0.08
26990.16.10.31.23.50.00.dat,0.13
26992.16.10.31.23.52.00.dat,-0.02
27000.16.11.01.00.00.00.dat,0.51
27007.16.11.01.00.07.00.dat,0.49
27009.16.11.01.00.09.00.dat,-0.33
27013.16.11.01.00.13.00.dat,0.45
27015.16.11.01.00.15.00.dat,0.3
27017.16.11.01.00.17.00.dat,0.01
27018.16.11.01.00.18.00.dat,0.1
27021.16.11.01.00.21.00.dat,0.54
27022.16.11.01.00.22.00.dat,-0.22
27025.16.11.01.00.25.00.dat,-0.04
27028.16.11.01.00.28.00.dat,0.65
27031.16.11.01.00.31.00.dat,0.52
27034.16.11.01.00.34.00.dat,-0.09
27035.16.11.01.00.35.00.dat,-0.17
27036.16.11.01.00.36.00.dat,0.53
27040.16.11.01.00.40.00.dat,0.53
27043.16.11.01.00.43.00.dat,0.29
27047.16.11.01.00.47.00.dat,0.52
27048.16.11.01.00.48.00.dat,-0.33
27052.16.11.01.00.52.00.dat,-0.38
27055.16.11.01.00.55.00.dat,0.71
27063.16.11.01.01.03.00.dat,0.76
27073.16.11.01.01.13.00.dat,0.77
27080.16.11.01.01.20.00.dat,-0.13
27082.16.11.01.01.22.00.dat,0.76
27083.16.11.01.01.23.00.dat,-0.52
27087.16.11.01.01.27.00.dat,-0.18
27092.16.11.01.01.32.00.dat,0.75
27093.16.11.01.01.33.00.dat,-0.37
27096.16.11.01.01.36.00.dat,0.38
27098.16.11.01.01.38.00.dat,0.14
27103.16.11.01.01.43.00.dat,0.02
27104.16.11.01.01.44.00.dat,-0.34
27108.16.11.01.01.48.00.dat,0.89
