X,Y,PP Time (ms),PP Time Error  (ms),Depth (m),Depth Error (m),Month,Day,Hour ,Minute
484626.76,6022968.05,1982.28204,15.10966141,3451.444603,39.95375806,10,29,5,13
484471.45,6022961.73,1988.778078,13.15294777,3467.248773,38.28713206,10,29,5,30
484488.09,6022968.05,1970.284549,22.69172051,3425.75272,52.62849448,10,29,5,36
484510.27,6022961.73,1989.409442,10.878917,3468.714076,31.56112176,10,29,5,44
484482.54,6022942.74,1962.394349,32.01573146,3408.744182,74.0818602,10,29,5,45
484668.36,6023116.77,1991.908987,10.74650906,3475.061475,32.66602085,10,29,5,59
484499.18,6022942.74,1962.719748,28.52423735,3409.490075,63.5095625,10,29,6,19
484476.99,6022980.71,1971.778885,25.26940454,3429.042314,61.38411035,10,29,6,21
484576.84,6023018.68,2004.675913,15.26257604,3514.194302,45.14014242,10,29,6,37
484626.76,6023031.34,1973.75879,24.81107197,3433.416228,61.66837456,10,29,7,2
484582.38,6022999.7,1988.444755,15.96820257,3466.276339,47.02050625,10,29,7,3
484593.48,6022980.71,1982.909841,13.52773825,3452.72585,35.8598228,10,29,7,30
484482.54,6022885.79,1902.066774,63.86041027,3271.019815,145.3559156,10,29,7,34
484482.54,6022961.73,1995.457047,14.2140463,3485.698568,42.84486292,10,29,8,5
484499.18,6022987.04,1977.008859,18.77307095,3440.253627,46.40396642,10,29,8,12
484488.09,6022974.38,1961.248625,30.14518117,3406.292381,67.17203499,10,29,8,14
484482.54,6022949.07,2000.798149,17.90305624,3501.951894,53.58623255,10,29,8,17
484482.54,6022968.05,1941.415084,50.59312176,3361.463293,113.9048865,10,29,8,18
484590.7,6022977.55,1984.322404,14.30029831,3455.753439,39.50431793,10,29,8,30
484490.86,6022964.89,1983.033014,13.83002362,3452.983944,36.91364585,10,29,8,33
484479.77,6022952.23,1943.655164,37.28890994,3366.876818,81.71327463,10,29,8,34
484601.8,6023002.86,1993.90119,11.35802813,3481.282525,34.64125272,10,29,9,19
484610.12,6023018.68,1977.605882,16.73607669,3441.547879,41.07304924,10,29,9,30
484482.54,6022955.4,1866.488582,57.34412718,3171.518487,146.8207432,10,29,9,42
484493.63,6022961.73,1961.653498,31.93969833,3407.156652,73.15479602,10,29,9,45
484501.95,6022952.23,1972.751197,20.01509921,3431.229141,46.50233705,10,29,10,11
484682.23,6023151.57,2006.321807,17.67334942,3518.994521,52.89012631,10,29,10,23
484504.73,6022968.05,1969.07824,23.72852028,3423.12663,54.72933298,10,29,10,25
484515.82,6022955.4,1994.099923,22.24153203,3481.895337,66.46533666,10,29,10,26
484499.18,6023012.35,1975.819443,29.6101581,3437.751021,78.66545572,10,29,10,34
484554.65,6022968.05,1968.459925,28.96407936,3421.920797,69.5646601,10,29,11,0
484676.68,6023132.59,1968.442486,25.99517708,3421.886502,61.02325014,10,29,11,9
484579.61,6022990.2,2001.218484,14.86809959,3503.295988,44.2152579,10,29,11,14
484599.02,6022961.73,1979.439151,15.84324332,3445.404857,39.85365988,10,29,11,34
484493.63,6022949.07,1985.261045,16.65367869,3457.963774,47.52134571,10,29,11,58
484504.73,6022961.73,2000.589308,16.25892013,3501.239826,48.67337419,10,29,11,58
484587.93,6022987.04,1984.606361,18.44776297,3456.507882,52.51427156,10,29,12,14
484488.09,6022961.73,2011.837911,27.61585294,3534.78257,79.28298044,10,29,12,31
484438.16,6022949.07,2008.312871,24.28830853,3524.611092,71.03608039,10,29,12,33
484490.86,6022939.58,1968.63385,24.76952989,3422.249316,57.4674958,10,29,12,43
484499.18,6022968.05,1965.58546,25.83079041,3415.624855,57.90904526,10,29,12,44
484482.54,6022936.41,1981.30776,19.52555546,3449.366146,52.70528492,10,29,12,44
484482.54,6022930.09,1994.147006,10.08880257,3482.038629,30.69386068,10,29,12,44
484493.63,6022930.09,2004.87728,28.83559027,3514.778791,83.62773526,10,29,13,16
484515.82,6022961.73,1978.570601,24.70908154,3443.555254,66.19903025,10,29,13,22
484593.48,6022993.37,2011.114399,15.70969656,3532.74532,47.53690818,10,29,13,23
484626.76,6022980.71,1963.615937,30.69249512,3411.415668,71.10537657,10,29,13,24
484582.38,6022879.46,1887.02055,108.0942423,3232.357288,252.4767507,10,29,13,26
484493.63,6022980.71,1968.795919,23.9688258,3422.549565,55.17714723,10,29,13,33
484515.82,6022987.04,1976.04906,18.82362239,3438.228487,45.94700624,10,29,13,37
484501.95,6022977.55,1983.224932,14.69821589,3453.398766,39.60376002,10,29,13,41
484488.09,6022974.38,1970.94545,23.2317968,3427.212341,54.91751307,10,29,14,11
484482.54,6022987.04,1973.185363,24.41453345,3432.225144,59.74297104,10,29,14,11
484510.27,6022987.04,1980.871184,16.30398741,3448.437283,42.3549097,10,29,14,11
484493.63,6023006.02,1989.525951,12.1406724,3468.994121,35.71529157,10,29,14,11
484593.48,6023018.68,1991.013099,12.94759414,3472.259771,39.58539973,10,29,14,31
484460.35,6023012.35,1965.33329,33.26893977,3415.070146,80.12075738,10,29,14,39
484604.57,6022993.37,1981.718957,17.70024424,3450.266926,47.31941634,10,29,15,17
484496.41,6022945.91,1974.768088,21.06257202,3435.570322,51.23955317,10,29,15,28
484504.73,6022968.05,1959.197217,30.6356293,3401.656836,68.04273436,10,29,15,29
484676.68,6023094.62,1978.997275,25.69713478,3444.460096,69.79211009,10,29,16,8
484657.27,6023104.11,1990.064966,11.03107529,3470.155279,32.75609669,10,29,16,9
484587.93,6023012.35,1968.187219,27.4506694,3421.359232,64.8553881,10,29,16,16
484601.8,6022977.55,1968.953939,23.20167402,3422.863359,52.96364136,10,29,16,38
484504.73,6022961.73,1989.714981,12.70565829,3469.440636,37.55051414,10,29,16,59
484468.67,6022914.27,1957.008261,37.19696618,3396.992269,85.22180145,10,29,17,1
484493.63,6022942.74,1880.627532,88.67561433,3213.707015,209.9131923,10,29,17,2
484493.63,6022942.74,1972.261915,21.29259303,3430.132273,50.05772042,10,29,17,2
484515.82,6023006.02,1989.918641,18.41094783,3469.873867,54.78392437,10,29,17,11
484623.98,6023015.52,1967.293578,26.84906662,3419.455177,62.57029711,10,29,17,21
484488.09,6022974.38,1993.517781,15.0977686,3480.074861,45.42466792,10,29,17,30
484479.77,6022964.89,1905.303828,67.63912171,3278.337705,153.3217194,10,29,18,0
484576.84,6022993.37,1901.282052,55.34491272,3269.329496,126.8827101,10,29,18,8
484515.82,6022949.07,1977.107514,21.20938253,3440.471507,53.78751542,10,29,18,17
484504.73,6022949.07,1998.9981,17.50766243,3496.396017,52.4747454,10,29,18,17
484601.8,6023002.86,1983.282758,14.24256345,3453.522739,38.23666793,10,29,18,46
484493.63,6022974.38,1945.535835,47.96858155,3371.456128,108.5768403,10,29,18,51
484604.57,6022993.37,1976.324531,18.38896467,3438.799035,44.92415967,10,29,19,41
484582.38,6022999.7,2005.96795,23.40794857,3517.98027,69.85416422,10,29,19,41
484671.13,6023113.6,1996.292273,11.80550829,3488.165899,35.87467593,10,29,19,46
484493.63,6022999.7,1957.254409,31.1024857,3397.488324,68.52852344,10,29,20,8
484499.18,6022980.71,1984.952617,12.52558968,3457.289541,34.34218516,10,29,20,8
484493.63,6023025.01,1984.895111,21.70417697,3457.162661,62.64752213,10,29,20,17
484476.99,6022968.05,1963.070784,32.12801477,3410.259145,74.78927598,10,29,20,19
484501.95,6023015.52,1991.68022,9.448652136,3474.356166,28.65667891,10,29,20,19
484493.63,6022993.37,1985.839678,18.78475664,3459.29109,54.72929592,10,29,20,41
484499.18,6022974.38,1963.753822,26.49383213,3411.702015,58.80852509,10,29,20,43
484582.38,6023018.68,1999.357671,15.20106742,3497.407474,45.26172055,10,29,21,0
484499.18,6022961.73,1954.446241,36.93692851,3391.613062,81.81842291,10,29,21,4
484488.09,6023025.01,1993.76236,14.90868071,3480.845198,44.82762785,10,29,21,14
484501.95,6023002.86,1990.886777,9.575888867,3471.870728,28.97219973,10,29,21,33
484504.73,6023012.35,1997.166051,15.17432464,3490.766096,45.51359437,10,29,21,34
484504.73,6022987.04,1971.779723,21.46639345,3429.044242,50.18112223,10,29,21,48
484513.05,6023002.86,1981.111671,15.00109012,3448.94489,38.72109824,10,29,21,51
484504.73,6022999.7,1977.60035,18.17886639,3441.536354,45.11275944,10,29,21,52
484476.99,6023012.35,1977.099329,22.62007741,3440.453615,58.07332795,10,29,21,54
484593.48,6023025.01,1993.854048,11.77525745,3481.134955,35.8106948,10,29,22,5
484599.02,6023012.35,1989.046741,9.883038255,3467.879873,28.32177405,10,29,22,6
484499.18,6022987.04,1971.705634,21.56166062,3428.874305,50.41724102,10,29,22,24
484504.73,6022955.4,1977.455152,18.25677311,3441.229961,45.21110161,10,29,22,49
484504.73,6022980.71,1990.092402,10.72786818,3470.207764,31.81974583,10,29,22,49
484579.61,6022990.2,1954.516514,37.28157828,3391.765004,82.9542337,10,29,22,59
484532.46,6023025.01,1997.068268,19.52354982,3490.4845,58.65124716,10,29,23,0
